Cases Mean Standard_Deviation
0 0.5374455821 0.165363750839005
0 0.5029306961 0.150683680864132
0 0.4857683027 0.124651930019129
0 0.5033792113 0.107351846497499
0 0.5012603973 0.103628085079152
0 0.5044128758 0.0974708323258882
0 0.5174792255 0.0801580056550842
0 0.4993435636 0.0703113232671105
0 0.482752458 0.0886833775827894
0 0.499861386 0.0717546187096972
0 0.4891603852 0.0745790717089917
0 0.4965495015 0.0787712779781122
0 0.4976633639 0.0821456631700812
0 0.5037405978 0.0753572096473603
0 0.5049455495 0.0671903072851156
0 0.4976999977 0.0657307526842523
0 0.5042178261 0.0737816780537818
0 0.5079326813 0.0636053139537574
0 0.5120346656 0.0688010600689716
0 0.5118356555 0.0718112914611675
0 0.5009247533 0.0664489185949575
0 0.4942633605 0.0662688533240377
0 0.5039039641 0.0574187989182927
0 0.4949752424 0.0606806907180995
0 0.4972851458 0.0629302297224
0 0.4988376226 0.0566146833068256
0 0.5021891111 0.0606306450360155
0 0.4987999984 0.0504394014870838
0 0.5027683199 0.044395194110099
0 0.4955722731 0.0483768951900216
0 0.4949188071 0.0451929773127566
0 0.5017841606 0.0414570875538629
1 0.5088069398 0.138356919196777
1 0.482102952 0.11424386136363
1 0.5017851505 0.0963283025909647
1 0.4925178135 0.0822253605078821
1 0.5002287138 0.0622522593381233
1 0.5014871297 0.063993467739403
1 0.5007346535 0.0568300955527288
1 0.5009306944 0.0524754257693177
1 0.5021693089 0.0423129260585255
1 0.4969584129 0.0540945867959695
1 0.5026960426 0.0594567676648445
1 0.4985227708 0.0509226739171595
1 0.4988910881 0.0522266194053032
1 0.5000702977 0.0460230639072435
1 0.5032990133 0.0448787934590309
1 0.5030544583 0.049373026057586
1 0.498643563 0.046159921538071
1 0.4972524734 0.0449848584370647
1 0.5006188133 0.036003602291263
1 0.499528713 0.0318016356610836
1 0.5004445555 0.0337760049039321
1 0.4981980173 0.0394210624320315
1 0.4982534636 0.0408627598091734
1 0.5011693088 0.0359651273417475
1 0.5014059424 0.0379444538721016
1 0.5000089097 0.0312883157350775
1 0.5016316844 0.0335620651929526
1 0.5009831709 0.0330983601482844
1 0.5007801977 0.0285416620672233
1 0.500124758 0.0276743022679712
1 0.5003336583 0.0193611785493865
1 0.5000950489 0.0192653351523861
2 0.4999306938 0.103824191074324
2 0.4987534649 0.0700597522541934
2 0.4975158402 0.0641016974147113
2 0.4995207918 0.0596925996201606
2 0.5062721669 0.0215378106544101
2 0.5033603009 0.0138029259812738
2 0.5004989939 0.0141044922327525
2 0.5009494841 0.015381706188771
2 0.4979228173 0.0153229052583143
2 0.4980465775 0.0146741224652517
2 0.4922318024 0.0265859702507163
2 0.4979911395 0.0140709967437199
2 0.4951585355 0.0147175470342449
2 0.5044493921 0.0144376401553122
2 0.5021137957 0.0130230752976393
2 0.495804065 0.0166518235090573
2 0.497943632 0.0157584505278876
2 0.4980614398 0.0134067717357242
2 0.4911714326 0.0238602413402828
2 0.4982782616 0.0158041037181802
2 0.4994970415 0.0148657759613439
2 0.5008316516 0.0143699159965322
2 0.5035801093 0.0174078571137944
2 0.4937318062 0.0176848391702523
2 0.5033306585 0.0220394255522721
2 0.5006128649 0.0137764714327857
2 0.4951119936 0.0155845558150097
2 0.494085286 0.0154989579352714
2 0.4999524806 0.0121384360437901
2 0.498566368 0.0133971629090482
2 0.5078711392 0.0205781047041107
2 0.4968960938 0.0189571220059817
3 0.4983663443 0.0661941624068364
3 0.4999485114 0.0386303715046196
3 0.4924000956 0.0287136216775914
3 0.5028425277 0.0221709598921627
3 0.5070800845 0.0217041106438814
3 0.5002505036 0.0219594520505322
3 0.4966337166 0.0216597004157328
3 0.4946278304 0.0185927910846722
3 0.5054226675 0.0201068093449743
3 0.5061731405 0.0172346308553456
3 0.5027504306 0.0168561006555821
3 0.5049414915 0.019044246644978
3 0.5034930001 0.0181540425824638
3 0.5038900343 0.0214208297223222
3 0.5062355378 0.0219259618614629
3 0.5039434982 0.0200034997028578
3 0.4932209061 0.024897535864822
3 0.4933288089 0.0248573471072901
3 0.4889070711 0.0291311870494207
3 0.4944298233 0.0166267239220153
3 0.502684106 0.0204612635726844
3 0.5032355548 0.0166706365851881
3 0.5006227809 0.0213709055147681
3 0.5041820897 0.0175802314596842
3 0.4958585021 0.0214820668271401
3 0.5020118178 0.0217133225475008
3 0.4962872009 0.0185272636973772
3 0.4942278158 0.0220061825899789
3 0.5075513585 0.0277494924870547
3 0.4990089427 0.0211536070143602
3 0.5000653417 0.0182891528917304
3 0.5072315681 0.0221668988318787
4 0.5042454969 0.0354441010260854
4 0.4989406011 0.0266048942453256
4 0.5019346163 0.0253106998498651
4 0.503013814 0.0276904361905486
4 0.4990584306 0.0266983354962479
4 0.4971703373 0.0245878762266582
4 0.5087236716 0.0283709503384935
4 0.4971782494 0.0298998117117423
4 0.4934327342 0.0301301907307454
4 0.5072612847 0.0261364470839222
4 0.4960980808 0.0247899271236595
4 0.4953753248 0.0232160719093217
4 0.5007554402 0.0216695881461754
4 0.5081107761 0.0243957597631927
4 0.4938198855 0.0260929859939524
4 0.5016643187 0.0275206997686488
4 0.5025742203 0.0219657583414395
4 0.5012207611 0.0255516138345777
4 0.4998742585 0.0255716390201077
4 0.5013286958 0.0287163343896386
4 0.497626774 0.0250344316595759
4 0.495347602 0.0257754760206985
4 0.4994277484 0.0255755043173934
4 0.5001287146 0.0348436697584507
4 0.5073840465 0.0250799334153293
4 0.5006881138 0.0266686142911339
4 0.5024742273 0.0261514808330735
4 0.4932733848 0.0256936244639548
4 0.4953644335 0.0248237549084008
4 0.5040662801 0.0264073523025389
4 0.5003505103 0.0265307270019579
4 0.5083929837 0.0329283652477347
5 0.5029692841 0.0388410623613428
5 0.4993277282 0.0336305822437663
5 0.499952472 0.0359813995264776
5 0.4984138816 0.0339987172157953
5 0.4995009892 0.0322658121700227
5 0.4987010021 0.0332580033704929
5 0.5054949847 0.0315417059103822
5 0.5022128472 0.0317478351935372
5 0.5016821532 0.0338287409849701
5 0.5038039308 0.0345173559430954
5 0.50280592 0.0341735276723132
5 0.5009257385 0.0330597248866937
5 0.5015078976 0.0322924585813536
5 0.4955495459 0.0306036424880772
5 0.5025019625 0.0327038469728253
5 0.4932931377 0.0343141743594413
5 0.4973614178 0.031294878926194
5 0.5008841412 0.0337868291419927
5 0.4973386299 0.0329579819920065
5 0.5038969824 0.0301958940041516
5 0.5032118386 0.0340247096773538
5 0.5000574321 0.0364647842648457
5 0.501904921 0.030494583282444
5 0.4949515507 0.032516952785639
5 0.5018356183 0.0316135032128827
5 0.4995703004 0.0329079239908764
5 0.494660459 0.0315805127809773
5 0.4960346878 0.0323231111037702
5 0.5001534649 0.034238410705334
5 0.4987089214 0.0332948456731949
5 0.4964673531 0.0341066271257656
5 0.4973158711 0.0308933984033155
6 0.4997574317 0.0408437189737969
6 0.500574251 0.0410355851750266
6 0.5044266954 0.0403115853686321
6 0.499351487 0.0396106734285871
6 0.506041532 0.0397494657141128
6 0.493653524 0.0383920364456754
6 0.5013801914 0.0393609677379087
6 0.4988425807 0.0394986719317539
6 0.5040890806 0.040171659914745
6 0.4965148793 0.0401109218091703
6 0.4965990337 0.0394905704047897
6 0.4952505332 0.039158348165427
6 0.5003970252 0.0393276068078861
6 0.505196989 0.0388862461263833
6 0.5001970273 0.0398725245053081
6 0.4975138824 0.039564161280302
6 0.4990584288 0.0405819157711523
6 0.5024999836 0.037122214067152
6 0.4988505059 0.0387779859477047
6 0.4993000115 0.0382329699096785
6 0.5002277161 0.0383769004745785
6 0.5017742404 0.0372953809067196
6 0.5038890742 0.0385090504944421
6 0.5004564384 0.040293551449889
6 0.5046940147 0.0387606805778919
6 0.4963059723 0.0401686905482911
6 0.5001633642 0.0383245644262346
6 0.5005712807 0.0381920068741093
6 0.4993455474 0.0394466307529874
6 0.4978247735 0.0376455156952909
6 0.5018247311 0.0381449570112529
6 0.5032177895 0.0394410959138369
7 0.4986109019 0.0443833961415638
7 0.4995316886 0.0435420536154456
7 0.499785152 0.0441037646490628
7 0.4994108988 0.0440398434472949
7 0.4953000417 0.0437582323147964
7 0.5013534508 0.0453641340358202
7 0.5017514714 0.044142624764684
7 0.5013643429 0.0443850483263769
7 0.4996425774 0.0445150538310038
7 0.5021772066 0.0448819416127468
7 0.5003950541 0.0442394656885842
7 0.4985871393 0.044875156853136
7 0.4967376525 0.0437597639476405
7 0.5022811715 0.0436099477580613
7 0.5036296794 0.0442793349423081
7 0.5066643038 0.043348188124235
7 0.4985000075 0.0462992813178984
7 0.4981861542 0.0455645986724523
7 0.4994257465 0.0446418821921904
7 0.5017366222 0.0440318012530924
7 0.4991504975 0.0442051349315962
7 0.5026791905 0.0438389394038863
7 0.4991693145 0.0449132909600385
7 0.5008425667 0.0446273002029261
7 0.4999594068 0.0468536446655152
7 0.4962980472 0.0441997696956001
7 0.5028831458 0.0436686781034264
7 0.5010910786 0.0459129295513543
7 0.4975584311 0.044396064233006
7 0.498402979 0.0429807387364735
7 0.4979039766 0.0430941833721594
7 0.4978445686 0.0438599933171663
8 0.4995762423 0.0471895145878816
8 0.5019237495 0.0463007632203836
8 0.4991633733 0.0476175148360418
8 0.5012821638 0.0476300440614587
8 0.4957554723 0.0463819695729039
8 0.5006742583 0.0471117461533994
8 0.5011742488 0.0473392441116312
8 0.4978505054 0.0464551006244069
8 0.4996118834 0.0460717403375755
8 0.497982196 0.0471636406335364
8 0.497743582 0.0470197824028014
8 0.4983396128 0.0471806957335483
8 0.5018009738 0.0473586841725419
8 0.4977752584 0.0481731052116012
8 0.5024574128 0.0465848435434315
8 0.4993168347 0.0466511317740262
8 0.4959633995 0.0470355393698944
8 0.5005227722 0.0468344177596327
8 0.5010366192 0.0466305328219646
8 0.5004296991 0.0466446989920008
8 0.4985673383 0.0466507348409494
8 0.5008485142 0.0470545792259607
8 0.5005475245 0.0463592665439893
8 0.5015069222 0.0467810338461146
8 0.497216849 0.0478808652210967
8 0.5000316847 0.0467751168715325
8 0.4980673433 0.0465916829045145
8 0.498221797 0.0458963613916037
8 0.4992514877 0.0469718210047545
8 0.5028593856 0.0468431921825989
8 0.5007257329 0.0468721002511297
8 0.4994524802 0.0476894022498993
9 0.5006831592 0.0481958209801291
9 0.5004772175 0.0488024987278705
9 0.4997603968 0.0485761113417023
9 0.4998613804 0.0482953578202191
9 0.4990940649 0.0485272609013732
9 0.5010554427 0.0485579664844197
9 0.5021564228 0.0479483650851546
9 0.5024494903 0.0492823892942191
9 0.5019989941 0.0478313431163865
9 0.4998306962 0.0488129754856645
9 0.5001613863 0.0489325606564945
9 0.4982742714 0.0487638559074858
9 0.4996049541 0.0481206705913811
9 0.5011445459 0.0492503940251371
9 0.4996900961 0.0484356463421345
9 0.50033465 0.0482690174751766
9 0.499298024 0.0488076191611089
9 0.4982673363 0.0488830883099858
9 0.4971287352 0.04781910614954
9 0.5016376076 0.0485973276118608
9 0.5001524764 0.0487650037117844
9 0.4993683142 0.0489976270740815
9 0.4990138673 0.0486522066616695
9 0.4991831714 0.0475624424302581
9 0.5005396005 0.0480958302402355
9 0.4991029703 0.0482246505626096
9 0.5010554397 0.0490862938774504
9 0.4981564482 0.0475638199127171
9 0.4997336671 0.0480840537927824
9 0.5014999873 0.049040945140429
9 0.5002960433 0.0482322891148819
9 0.4998712878 0.0482572076199266
10 0.5004445534 0.0488515974270368
10 0.5005267317 0.0495925208527734
10 0.5002772288 0.0491044436996526
10 0.5001663343 0.0481635481763277
10 0.5010296945 0.0486978318093923
10 0.4983188182 0.0497466755968903
10 0.5017465245 0.0484911374174828
10 0.500919799 0.0488168535748925
10 0.5012009832 0.0492142034083214
10 0.5003099015 0.0498453635664272
10 0.4984940738 0.049567503413751
10 0.5015267223 0.0493825798157398
10 0.5007445581 0.0494061203161723
10 0.5005415769 0.0496719645251954
10 0.4998900977 0.0494217291959622
10 0.5004831661 0.0486608080056722
10 0.5007415782 0.0496383850637353
10 0.4992168377 0.0497336409653639
10 0.5000673303 0.0489133424949921
10 0.5003930613 0.0492101544945337
10 0.499288125 0.0483079700443514
10 0.4989604061 0.0499480822407081
10 0.5012673137 0.0481962056986592
10 0.4997673222 0.0496257980633433
10 0.4982663452 0.049294470691455
10 0.5004128723 0.0493413035151733
10 0.5003564355 0.0497016582496833
10 0.4995792124 0.0489768763609675
10 0.5015702849 0.049750298004252
10 0.5002059389 0.0487911371453521
10 0.5012445451 0.0493801735424986
10 0.5019613716 0.0490798222962245
11 0.5000821788 0.0491811667810273
11 0.5007871197 0.0486914857882402
11 0.4996960383 0.0493180476706047
11 0.5002158423 0.0493731507974911
11 0.4995000011 0.0496903593305194
11 0.4995178257 0.0500947364933119
11 0.4998485175 0.0495739309066756
11 0.4992732678 0.0499541987000218
11 0.4997782163 0.0496977060827087
11 0.4997386141 0.0491524227156614
11 0.4978911011 0.049253572578972
11 0.5011197886 0.049641167931932
11 0.4999029652 0.0491488343009018
11 0.4992851509 0.049900962846214
11 0.4989316924 0.0493666294283385
11 0.49837229 0.0490894250398064
11 0.4998178185 0.0495473202875486
11 0.5009613781 0.0498478731198393
11 0.500499996 0.0486487507951497
11 0.5001178236 0.0496327216896446
11 0.5006316802 0.049577259630419
11 0.5004296978 0.0495459879807414
11 0.5007118792 0.0495170075651591
11 0.5013722663 0.0496800400233419
11 0.4991386173 0.0494315997211434
11 0.5014049475 0.0497995592165328
11 0.4986257469 0.0495952531513607
11 0.5000415915 0.0494973548962568
11 0.4992148541 0.0493344004196412
11 0.5005584113 0.049069496011017
11 0.500247521 0.0502291497027288
11 0.5009247489 0.0497714080134108
12 0.4999782205 0.0500004797581132
12 0.4995504913 0.0499290018481912
12 0.4995683168 0.0496139947805057
12 0.500046534 0.0490700538408084
12 0.4998247571 0.0498696150127194
12 0.5002801944 0.049953204497343
12 0.4993069388 0.0501020452374187
12 0.50008812 0.049409668210522
12 0.5007980114 0.0484233816745315
12 0.5004544497 0.0492609983858759
12 0.4998029706 0.0497729132765718
12 0.5012405855 0.0492122226410311
12 0.5000485098 0.0489277923608703
12 0.5002386104 0.050203617676773
12 0.5006693021 0.0497159813185688
12 0.4996752476 0.0494211775462291
12 0.5000069342 0.0497070762445987
12 0.500704945 0.0491392843791981
12 0.5005039573 0.0501269978907398
12 0.499577228 0.0494783293883911
12 0.500386135 0.0498896547691911
12 0.4996099025 0.0493297676194358
12 0.5010395943 0.0496448856864007
12 0.5003336663 0.0495463331982184
12 0.5004237581 0.0494126907937499
12 0.4988227764 0.0496137600446608
12 0.4999039596 0.0496258559309747
12 0.4999346492 0.0499417805011045
12 0.5002633667 0.049370140770648
12 0.5006950442 0.0496187096167549
12 0.4988831828 0.0492016401335582
12 0.4997039663 0.0500724948294531
13 0.5006118728 0.0491479132349641
13 0.5005554413 0.049055940211079
13 0.4994940581 0.049869518279581
13 0.5004059404 0.0501706986982326
13 0.5005267281 0.0496225595417338
13 0.4998366339 0.0496701102478752
13 0.4999099011 0.0491207144937628
13 0.4997059418 0.0497483983724429
13 0.5003821771 0.0498206636131979
13 0.4996861388 0.0495980818224473
13 0.4999475221 0.0491367311778795
13 0.4998376272 0.0502983491745881
13 0.4999366364 0.049563242528186
13 0.5002287135 0.0496939276566324
13 0.4998277205 0.049412621011184
13 0.4997574285 0.0503397201986012
13 0.5001623779 0.0490158326522579
13 0.4998613841 0.0494561592232037
13 0.5003742544 0.049844330924983
13 0.5002831636 0.0496300789109659
