#a(mm): 0.05	d(mm): 0.1
#lambda(nm): 590
#I0: 1
#N: 1
0,1
-0,1
0.0001,0.999764
-0.0001,0.999764
0.0002,0.999055
-0.0002,0.999055
0.0003,0.997875
-0.0003,0.997875
0.0004,0.996225
-0.0004,0.996225
0.0005,0.994107
-0.0005,0.994107
0.0006,0.991523
-0.0006,0.991523
0.0007,0.988476
-0.0007,0.988476
0.0008,0.98497
-0.0008,0.98497
0.0009,0.981008
-0.0009,0.981008
0.001,0.976595
-0.001,0.976595
0.0011,0.971736
-0.0011,0.971736
0.0012,0.966436
-0.0012,0.966436
0.0013,0.960702
-0.0013,0.960702
0.0014,0.95454
-0.0014,0.95454
0.0015,0.947956
-0.0015,0.947956
0.0016,0.940959
-0.0016,0.940959
0.0017,0.933555
-0.0017,0.933555
0.0018,0.925754
-0.0018,0.925754
0.0019,0.917563
-0.0019,0.917563
0.002,0.908992
-0.002,0.908992
0.0021,0.900051
-0.0021,0.900051
0.0022,0.890749
-0.0022,0.890749
0.0023,0.881096
-0.0023,0.881096
0.0024,0.871103
-0.0024,0.871103
0.0025,0.860782
-0.0025,0.860782
0.0026,0.850142
-0.0026,0.850142
0.0027,0.839196
-0.0027,0.839196
0.0028,0.827956
-0.0028,0.827956
0.0029,0.816433
-0.0029,0.816433
0.003,0.804641
-0.003,0.804641
0.0031,0.792591
-0.0031,0.792591
0.0032,0.780296
-0.0032,0.780296
0.0033,0.76777
-0.0033,0.76777
0.0034,0.755025
-0.0034,0.755025
0.0035,0.742075
-0.0035,0.742075
0.0036,0.728934
-0.0036,0.728934
0.0037,0.715614
-0.0037,0.715614
0.0038,0.70213
-0.0038,0.70213
0.0039,0.688495
-0.0039,0.688495
0.004,0.674724
-0.004,0.674724
0.0041,0.66083
-0.0041,0.66083
0.0042,0.646826
-0.0042,0.646826
0.0043,0.632728
-0.0043,0.632728
0.0044,0.618549
-0.0044,0.618549
0.0045,0.604302
-0.0045,0.604302
0.0046,0.590001
-0.0046,0.590001
0.0047,0.575661
-0.0047,0.575661
0.0048,0.561294
-0.0048,0.561294
0.0049,0.546915
-0.0049,0.546915
0.005,0.532537
-0.005,0.532537
0.0051,0.518172
-0.0051,0.518172
0.0052,0.503835
-0.0052,0.503835
0.0053,0.489538
-0.0053,0.489538
0.0054,0.475293
-0.0054,0.475293
0.0055,0.461114
-0.0055,0.461114
0.0056,0.447012
-0.0056,0.447012
0.0057,0.432999
-0.0057,0.432999
0.0058,0.419088
-0.0058,0.419088
0.0059,0.405289
-0.0059,0.405289
0.006,0.391615
-0.006,0.391615
0.0061,0.378075
-0.0061,0.378075
0.0062,0.364681
-0.0062,0.364681
0.0063,0.351443
-0.0063,0.351443
0.0064,0.338371
-0.0064,0.338371
0.0065,0.325474
-0.0065,0.325474
0.0066,0.312761
-0.0066,0.312761
0.0067,0.300242
-0.0067,0.300242
0.0068,0.287925
-0.0068,0.287925
0.0069,0.275818
-0.0069,0.275818
0.007,0.263928
-0.007,0.263928
0.0071,0.252264
-0.0071,0.252264
0.0072,0.240832
-0.0072,0.240832
0.0073,0.229639
-0.0073,0.229639
0.0074,0.21869
-0.0074,0.21869
0.0075,0.207992
-0.0075,0.207992
0.0076,0.197549
-0.0076,0.197549
0.0077,0.187367
-0.0077,0.187367
0.0078,0.17745
-0.0078,0.17745
0.0079,0.167801
-0.0079,0.167801
0.008,0.158426
-0.008,0.158426
0.0081,0.149326
-0.0081,0.149326
0.0082,0.140504
-0.0082,0.140504
0.0083,0.131963
-0.0083,0.131963
0.0084,0.123705
-0.0084,0.123705
0.0085,0.115731
-0.0085,0.115731
0.0086,0.108042
-0.0086,0.108042
0.0087,0.100639
-0.0087,0.100639
0.0088,0.0935224
-0.0088,0.0935224
0.0089,0.0866914
-0.0089,0.0866914
0.009,0.0801457
-0.009,0.0801457
0.0091,0.0738845
-0.0091,0.0738845
0.0092,0.0679064
-0.0092,0.0679064
0.0093,0.0622098
-0.0093,0.0622098
0.0094,0.0567927
-0.0094,0.0567927
0.0095,0.0516525
-0.0095,0.0516525
0.0096,0.0467867
-0.0096,0.0467867
0.0097,0.0421922
-0.0097,0.0421922
0.0098,0.0378655
-0.0098,0.0378655
0.0099,0.0338029
-0.0099,0.0338029
0.01,0.0300005
-0.01,0.0300005
0.0101,0.026454
-0.0101,0.026454
0.0102,0.0231588
-0.0102,0.0231588
0.0103,0.02011
-0.0103,0.02011
0.0104,0.0173025
-0.0104,0.0173025
0.0105,0.0147311
-0.0105,0.0147311
0.0106,0.0123902
-0.0106,0.0123902
0.0107,0.010274
-0.0107,0.010274
0.0108,0.00837649
-0.0108,0.00837649
0.0109,0.00669154
-0.0109,0.00669154
0.011,0.00521281
-0.011,0.00521281
0.0111,0.00393381
-0.0111,0.00393381
0.0112,0.00284789
-0.0112,0.00284789
0.0113,0.00194827
-0.0113,0.00194827
0.0114,0.00122806
-0.0114,0.00122806
0.0115,0.000680259
-0.0115,0.000680259
0.0116,0.00029777
-0.0116,0.00029777
0.0117,7.34278e-05
-0.0117,7.34278e-05
0.0118,5.38567e-10
-0.0118,5.38567e-10
0.0119,7.02072e-05
-0.0119,7.02072e-05
0.012,0.000276731
-0.012,0.000276731
0.0121,0.000612232
-0.0121,0.000612232
0.0122,0.00106936
-0.0122,0.00106936
0.0123,0.00164078
-0.0123,0.00164078
0.0124,0.00231915
-0.0124,0.00231915
0.0125,0.00309717
-0.0125,0.00309717
0.0126,0.0039676
-0.0126,0.0039676
0.0127,0.00492323
-0.0127,0.00492323
0.0128,0.00595692
